Word length, Duration, IsPalindrom, AlgorithmType, Word
4, 54800, true, recursive, Otto
2, 32700, false, recursive, IO
4, 37900, true, recursive, Paap
4, 31900, false, recursive, Wail
5, 14600, false, recursive, Nebil
7, 92700, true, recursive, Rentner
5, 8600, false, recursive, Hamza
4, 30600, false, recursive, Mama
4, 28200, false, recursive, Papa
8, 33200, false, recursive, Nerv net
4, 31900, true, iterative, Otto
2, 13800, false, iterative, IO
4, 15700, true, iterative, Paap
4, 21700, false, iterative, Wail
5, 6900, false, iterative, Nebil
7, 6000, true, iterative, Rentner
5, 4500, false, iterative, Hamza
4, 4300, false, iterative, Mama
4, 4300, false, iterative, Papa
8, 19600, false, iterative, Nerv net
4, 26800, false, recursive, Wail
5, 9300, false, recursive, Nebil
7, 5200, true, recursive, Rentner
5, 8100, false, recursive, Hamza
4, 27300, false, recursive, Mama
4, 6200, false, recursive, Papa
8, 37500, false, recursive, Nerv net
4, 23100, false, iterative, Wail
5, 3400, false, iterative, Nebil
7, 2800, true, iterative, Rentner
5, 1900, false, iterative, Hamza
4, 1600, false, iterative, Mama
4, 1500, false, iterative, Papa
8, 2900, false, iterative, Nerv net
